,Year,Label (Grouping),Estimate
125,2019,"Professional, scientific, and management, and administrative and waste management services",346692.1346153846
126,2019,Public administration,138904.4423076923
127,2019,Retail trade,334720.96153846156
128,2019,"Transportation and warehousing, and utilities",160465.48076923078
129,2019,Wholesale trade,77783.15384615384
130,2020,"Agriculture, forestry, fishing and hunting, and mining",51386.596153846156
131,2020,"Arts, entertainment, and recreation, and accommodation and food services",283709.25
132,2020,Construction,201414.65384615384
133,2020,"Educational services, and health care and social assistance",702922.3846153846
134,2020,"Finance and insurance, and real estate and rental and leasing",199500.78846153847
135,2020,Information,59300.269230769234
136,2020,Manufacturing,302102.1538461539
137,2020,"Other services, except public administration",145620.84615384616
138,2020,"Professional, scientific, and management, and administrative and waste management services",354169.6153846154
139,2020,Public administration,141545.1923076923
140,2020,Retail trade,333297.3076923077
141,2020,"Transportation and warehousing, and utilities",165697.84615384616
142,2020,Wholesale trade,76936.17307692308
143,2021,"Agriculture, forestry, fishing and hunting, and mining",50539.807692307695
144,2021,"Arts, entertainment, and recreation, and accommodation and food services",277815.0576923077
145,2021,Construction,207274.07692307694
146,2021,"Educational services, and health care and social assistance",711408.0384615385
147,2021,"Finance and insurance, and real estate and rental and leasing",202704.82692307694
148,2021,Information,58620.03846153846
149,2021,Manufacturing,305373.73076923075
150,2021,"Other services, except public administration",145102.25
151,2021,"Professional, scientific, and management, and administrative and waste management services",364012.6923076923
152,2021,Public administration,144048.38461538462
153,2021,Retail trade,334520.3461538461
154,2021,"Transportation and warehousing, and utilities",172036.78846153847
155,2021,Wholesale trade,75905.98076923077
156,2022,"Agriculture, forestry, fishing and hunting, and mining",50387.692307692305
157,2022,"Arts, entertainment, and recreation, and accommodation and food services",275899.1346153846
158,2022,Construction,211398.21153846153
159,2022,"Educational services, and health care and social assistance",715148.8269230769
160,2022,"Finance and insurance, and real estate and rental and leasing",204638.40384615384
161,2022,Information,58344.82692307692
162,2022,Manufacturing,307193.9038461539
163,2022,"Other services, except public administration",145628.92307692306
164,2022,"Professional, scientific, and management, and administrative and waste management services",373097.3653846154
165,2022,Public administration,144944.03846153847
166,2022,Retail trade,338628.92307692306
167,2022,"Transportation and warehousing, and utilities",177531.78846153847
168,2022,Wholesale trade,73975.92307692308
