,Year,Month,Coffee,Corn,Sugar
113,1999,6,108.1172727,92.94701183,6.038636364
114,1999,7,95.79181818,83.59840304,5.378181818
115,1999,8,91.49954545,86.38191473,5.723478261
116,1999,9,84.52409091,87.12092088,6.674545455
117,1999,10,92.75904762,85.65047121,6.754285714
118,1999,11,112.4509091,85.40934063,6.505
119,1999,12,123.1652174,87.22283768,5.982
120,2000,1,111.8514286,92.95327496,5.6295
121,2000,2,104.0414286,95.08161904,5.351
122,2000,3,100.6526087,95.16935111,5.1112
123,2000,4,94.65,95.53937295,6.011
124,2000,5,91.50608696,95.53055089,6.780869565
125,2000,6,86.89409091,84.0395145,8.334545455
126,2000,7,87.65619048,75.05737521,9.64047619
127,2000,8,79.30391304,75.24053114,10.59782609
128,2000,9,75.8352381,80.15057627,9.8575
129,2000,10,76.76454545,84.7072744,10.41318182
130,2000,11,71.39045455,88.93710783,9.5135
131,2000,12,65.90333333,96.22420376,9.7175
132,2001,1,65.6526087,94.29723327,10.05952381
133,2001,2,67.2755,92.37751482,9.3625
134,2001,3,66.66590909,91.01215357,8.716818182
135,2001,4,65.99761905,87.54506652,8.052105263
136,2001,5,69.63130435,85.07752309,8.959545455
137,2001,6,63.84619048,83.16066599,8.742857143
138,2001,7,58.94136364,90.75466954,8.536190476
139,2001,8,59.33130435,92.87903164,7.904347826
140,2001,9,58.267,89.74398849,7.160666667
141,2001,10,56.36782609,86.26773913,6.596086957
142,2001,11,58.84772727,89.88255424,7.278
143,2001,12,56.5852381,92.31151517,7.41
144,2002,1,58.24304348,91.96696059,7.313809524
145,2002,2,59.116,90.72819384,5.683157895
146,2002,3,64.07047619,89.85794911,5.9245
147,2002,4,65.33681818,87.10664777,5.178181818
148,2002,5,61.46043478,90.33130502,5.611818182
149,2002,6,58.5555,93.16980013,5.246
150,2002,7,56.4773913,99.70000268,5.794761905
151,2002,8,54.36409091,109.8910018,5.856818182
152,2002,9,60.66619048,113.9414542,6.4095
153,2002,10,65.73086957,109.6468099,7.02
154,2002,11,69.86809524,108.6464294,7.296842105
155,2002,12,63.65590909,107.0126485,7.508
156,2003,1,65.38347826,105.8442561,7.89047619
157,2003,2,66.4085,106.14108,8.348333333
158,2003,3,61.74809524,105.1318789,7.843333333
159,2003,4,64.69227273,105.3380934,7.261904762
160,2003,5,66.09681818,107.9064007,7.013809524
161,2003,6,61.04666667,107.0253026,6.404761905
162,2003,7,62.95130435,97.67066497,6.732272727
163,2003,8,63.89142857,100.3495782,6.709047619
164,2003,9,66.41045455,103.2384553,6.271428571
165,2003,10,64.28347826,104.2059516,6.09826087
166,2003,11,62.2775,108.1004849,6.191111111
167,2003,12,64.88434783,111.9922096,6.343809524
168,2004,1,72.02863636,116.2455883,6.030526316
169,2004,2,76.2255,122.9324291,5.873157895
170,2004,3,78.05913043,128.4601949,6.496086957
171,2004,4,75.53772727,133.4394997,6.86047619
172,2004,5,77.44,129.2852157,6.6225
173,2004,6,82.21454545,123.278751,7.514285714
174,2004,7,74.96772727,104.4944888,8.165714286
175,2004,8,73.60818182,104.0931375,7.879090909
176,2004,9,80.46590909,97.72690527,8.674285714
177,2004,10,80.55095238,93.41514847,8.963809524
178,2004,11,90.26772727,93.75851034,8.666
179,2004,12,104.3882609,95.60852041,8.795238095
180,2005,1,107.1642857,96.03875875,8.922
181,2005,2,120.8325,94.35939361,9.323684211
182,2005,3,134.7778261,100.0140111,8.895
183,2005,4,129.5295238,96.47087177,8.525714286
184,2005,5,128.3977273,95.36481241,8.511428571
185,2005,6,121.1559091,97.61527679,9.033181818
186,2005,7,109.9285714,105.6642871,9.5975
187,2005,8,108.203913,99.28663643,9.875217391
188,2005,9,99.49090909,97.07076837,10.81047619
189,2005,10,105.0990476,101.5512461,11.61285714
190,2005,11,107.7422727,95.97970643,11.808
191,2005,12,105.9245455,102.6760522,13.92714286
192,2006,1,124.1986364,102.7904075,16.187
193,2006,2,119.1215,106.9365021,18.05263158
194,2006,3,113.6604348,104.9520804,17.08217391
195,2006,4,115.3375,107.9103474,17.46263158
196,2006,5,109.6295652,110.6246821,16.90045455
197,2006,6,103.1495455,109.6123566,15.68909091
198,2006,7,104.997619,114.3056102,15.857
199,2006,8,111.73,115.2772893,12.97956522
200,2006,9,109.8266667,120.2698946,12.3135
201,2006,10,110.6331818,142.2624107,11.50909091
202,2006,11,122.2654545,164.1064013,11.732
203,2006,12,128.3561905,160.7207348,11.6965
204,2007,1,124.6943478,165.160019,10.9035
205,2007,2,122.032,177.3848855,10.57157895
206,2007,3,117.0836364,169.5832697,10.36681818
207,2007,4,114.6947619,152.6305668,9.594
208,2007,5,113.3269565,160.1391589,9.086363636
209,2007,6,119.3280952,164.5372645,9.26047619
210,2007,7,117.6331818,147.2164013,9.895714286
211,2007,8,123.1508696,151.0307857,9.613043478
212,2007,9,128.0435,160.1250316,9.851052632
213,2007,10,134.2908696,164.1141037,9.994782609
214,2007,11,131.0454545,171.1139434,9.896
215,2007,12,138.0428571,180.2832637,10.44631579
216,2008,1,139.8226087,206.5588043,11.65952381
217,2008,2,157.2895238,220.0475977,13.6075
218,2008,3,149.2204762,233.9259293,12.8765
219,2008,4,140.7045455,246.6418625,12.52272727
220,2008,5,142.0436364,243.5317736,10.9347619
221,2008,6,146.1495238,287.1320709,12.0652381
222,2008,7,147.3569565,267.1414541,13.20772727
223,2008,8,146.4280952,235.1594667,13.68142857
224,2008,9,143.2690909,233.9456134,14.02047619
225,2008,10,123.5869565,183.0247029,11.70217391
226,2008,11,121.886,164.3044002,11.82842105
227,2008,12,118.7921739,158.909797,11.32
228,2009,1,127.8072727,173.2951299,12.244
229,2009,2,129.4815,163.3999605,13.31210526
230,2009,3,128.52,164.5770304,12.92818182
231,2009,4,135.0781818,168.7959054,13.46952381
232,2009,5,150.492381,180.0702121,15.466
233,2009,6,149.7813636,179.3937946,16.57590909
234,2009,7,140.8978261,151.8002554,17.80454545
235,2009,8,149.7619048,152.0362942,21.72
236,2009,9,148.51,150.592793,23.45142857
237,2009,10,154.5722727,167.2791214,23.16090909
238,2009,11,152.2104762,171.6868545,22.769
239,2009,12,157.943913,164.6128196,24.90272727
240,2010,1,158.6557143,167.3356308,21.90526316
241,2010,2,157.8565,161.9069613,21.97894737
242,2010,3,164.5026087,158.9277694,18.14782609
243,2010,4,169.3895455,157.2666427,16.88571429
244,2010,5,173.3690476,163.2403005,15.105
245,2010,6,190.9031818,152.8739339,16.3
246,2010,7,203.2136364,163.9217456,17.69
247,2010,8,211.59,175.6001304,18.60363636
248,2010,9,222.7131818,205.8395204,22.66952381
249,2010,10,217.4390476,235.703123,26.94380952
250,2010,11,233.5127273,238.2367488,26.42047619
251,2010,12,249.443913,250.6255509,28.04090909
252,2011,1,263.7657143,265.285524,29.73684211
253,2011,2,288.3885,293.396797,29.30631579
254,2011,3,292.0673913,290.4347217,25.9
255,2011,4,300.4771429,318.938776,23.903
256,2011,5,291.0659091,308.5752214,21.84095238
257,2011,6,274.9809091,310.5364743,24.92454545
258,2011,7,268.0214286,300.8322095,29.471
259,2011,8,270.4404348,310.3071116,28.87434783
260,2011,9,274.8804545,296.2994964,26.63857143
261,2011,10,247.8238095,274.846376,26.29857143
262,2011,11,245.0872727,274.2783489,24.51761905
263,2011,12,236.2977273,258.5179405,23.4152381
