Date,Agri_Machinery_ETF,Food_Beverage_ETF,Restaurant_FastFood_ETF,Retail_ETF
2000-01-01,51.465514570793744,38.35366176078708,36.97823380836577,50.261539324192775
2001-01-01,0.36287724556727974,-0.2559132568419925,0.6639707016517354,-1.6516673465561582
2002-01-01,-0.16465155405432633,-0.4632793662101719,0.5426660605374724,-7.624738196195217
2003-01-01,-0.6612111344945664,-0.5437698841946357,1.0431524039116373,-5.55893973132224
2004-01-01,-2.5988237897048934,-0.9079027287548487,0.5190137494513112,-6.287786864002387
2005-01-01,-3.065595741562147,-1.0337350243577434,-0.405636644800469,-10.637451964687816
2006-01-01,-6.306599301307303,-1.7310156862486488,-1.9012319200219234,-20.536440518901312
2007-01-01,103.71853533545442,20.761330992982924,43.68508646189277,161.19707320475467
2008-01-01,-5.256171173707339,-0.7291665029607959,-2.3051075610892986,-8.673413150209393
2009-01-01,-0.6525596085142208,-0.10576311760296685,-1.0337068012253405,-5.022205738732387
2010-01-01,-3.6932678994156856,-0.7904827686700915,-6.811840429997182,-12.506880627185376
2011-01-01,-8.50196936556055,-1.0267594793868215,-23.15369243770769,-19.90854328786075
2012-01-01,-21.277508213451576,-3.666695315204773,-69.96851177923985,-67.20186985965049
2013-01-01,14.760983615129735,4.620999642256446,51.267082564327666,45.90736019286131
2014-01-01,4.4042963972571165,1.926507018824549,24.053007492489634,8.110500040413282
2015-01-01,2.6699739579831197,2.293140420376618,21.094865785231175,8.827462315685864
2016-01-01,2.8116029631961728,2.441305705718306,13.551273410004752,7.8978223195447335
2017-01-01,2.722992016653602,2.0141951873371275,7.722131828026055,3.513705864703872
2018-01-01,2.284124413155006,1.3400529039981728,6.538429509347164,3.51371578247925
2019-01-01,2.0378597871831827,2.103759806965133,9.340499201906072,4.133948494170016
2020-01-01,1.778802597632275,1.661523316278487,10.69708250499774,4.249278726269604
2021-01-01,3.4032192005193154,2.482925944886844,16.135068694006446,6.675358701401782
2022-01-01,4.277945616846439,4.238052669848809,18.572619658272856,8.745243772962555
2023-01-01,4.161071364304913,4.617361556526128,21.174026958106207,7.973087418896222
2024-01-01,3.3245966386519648,4.965386678980242,22.034603747312318,6.571098481226746
