,Year,Month,Agri_Machinery_ETF,Food_Beverage_ETF,Investment_Funds_ETF,Restaurant_FastFood_ETF,Retail_ETF
0,1999,11,26.123142817662256,32.03701964588416,123.53296398735051,30.89777090636599,17.86821270310192
1,1999,12,25.250058401128467,29.910405424116774,127.7750987295785,28.549048296650675,14.447011997283633
2,2000,1,27.02143424277715,28.793713021448305,127.60036838335422,27.169198688762872,15.766343484565983
3,2000,2,23.642883441995885,25.880471116121186,120.97698831365328,25.973382974034802,16.67286023294509
4,2000,3,22.384303264026695,24.475699108196594,124.85927702109939,27.144133125240927,18.823415627996166
5,2000,4,24.387870403652133,26.10280698609312,127.13665898185073,28.73143939913168,19.97898670044332
6,2000,5,25.66142092023473,27.17774483725588,123.74652736154731,28.17334564673003,16.958432601880876
7,2000,6,24.210164696656303,27.11142486391321,126.15975065666538,26.712722198953053,14.708171269095182
8,2000,7,24.213925606149942,25.685839514151766,127.11568899790484,27.37205489170019,14.420985308521058
9,2000,8,22.98518182360543,25.04919166780858,129.48976991691063,28.01288512413145,13.938901488306167
10,2000,9,22.57627268372852,25.085780803566802,127.4677955870236,28.25323652708755,11.477595764559327
11,2000,10,22.126018289328847,26.540168053106655,121.75414599457693,28.862705542545513,9.280975071696448
12,2000,11,23.601309063600564,28.39705257371874,122.39279068893347,32.51875569435254,8.046311686115338
13,2000,12,25.91310266518809,29.34698443322824,119.37488560030441,31.87363169132982,7.917458032289715
14,2001,1,26.301036265153762,29.34838614566026,120.40579125915042,31.247222618348978,12.2774329732384
15,2001,2,25.86442393153564,30.560099198881776,118.52291858403697,32.33350358950719,14.138910495471498
16,2001,3,25.276983060661415,30.06180036372562,108.21063277314539,31.32846784945398,14.203781519369445
17,2001,4,24.547161547368283,29.01392309361473,110.24152462561199,31.130665675867164,14.097941976427924
18,2001,5,26.20237023502124,29.58314445105914,118.99902877386458,29.028671365631045,15.600822197055493
19,2001,6,26.141524273557412,29.76203218933278,115.7536077363294,29.345089566093872,15.930187545787545
20,2001,7,26.802001903491252,30.313099187717146,112.34818953145073,29.635023764099543,20.32382162243667
21,2001,8,27.85643488936667,30.70432900121007,110.46676969433946,29.03503781195725,22.191134980988593
22,2001,9,24.739586498398882,30.959641887326743,97.21134174928899,26.475567297592455,19.60216609096143
23,2001,10,24.668505272438036,30.534200312205442,100.06429365906791,28.76873209616418,25.796162277304415
24,2001,11,25.928580024065884,32.14607271662256,105.22432717297758,29.88671795977765,28.61664101525584
25,2001,12,27.510666535780206,32.614943040621384,107.46417568443923,31.07691211796589,31.477653740458017
26,2002,1,27.55210953073984,32.87271472743751,106.59150366438705,33.13878561461384,37.06176486397707
27,2002,2,29.172942321188707,33.22092862733205,104.868766473677,34.48579919049048,39.63525552407932
28,2002,3,32.3828565627761,33.69932811004382,110.45918864522079,35.20977463709822,43.972408470658415
29,2002,4,31.42974516485369,34.248566813900396,106.60917258205582,36.082052513081045,51.38009276437848
30,2002,5,31.466679584532255,33.693552739426046,104.5662718881607,34.23608904839557,57.03514975664545
31,2002,6,29.897248673494857,32.8798524114911,98.13827316131128,29.92784603981434,67.47736145524868
32,2002,7,28.020247347637074,31.499620723437992,86.49617636890058,24.197368278117523,61.20293905950096
33,2002,8,29.01661893716862,31.820846629653957,89.03343887392035,24.335947831735144,47.013551711446446
34,2002,9,28.820836684179387,30.875397278494503,83.92839226558401,23.30438598384638,32.86251474292488
35,2002,10,28.631833577330145,30.378554133202915,82.6952495193735,22.001200371833743,36.42594005162514
36,2002,11,30.645782083939885,32.037068052507635,88.89960284281219,21.66473689383536,42.33734928400955
37,2002,12,29.580656577988485,32.59018101254036,88.21558149056104,21.705344434651188,40.33940095278077
38,2003,1,28.33339205339697,33.729974401472845,86.79266487220508,22.059159445913693,40.26633090453299
39,2003,2,27.01360782145062,31.677544112162018,81.85682215675054,20.756879653561526,33.78047236565309
40,2003,3,27.352632878279508,29.663695613646635,82.83792408193617,21.55392463685285,32.66451978962118
41,2003,4,28.75301904181044,30.217215954675865,86.3348463672964,22.27453819473133,39.44730476203607
42,2003,5,29.141981790812856,31.335222065984162,90.15472917325411,22.64385847618478,43.808995396189694
43,2003,6,30.571136702084367,33.64482872471038,95.195191922676,24.582761925988372,48.60864827359515
