,Year,Coffee,Corn,Sugar
0,1990,89.1475041725,109.27960586333334,12.510834058166667
1,1991,85.02702840166667,107.472829175,8.976223270583333
2,1992,61.737390425,104.21280797000001,9.0697627465
3,1993,71.11863831666666,102.03996530583333,10.020614307083333
4,1994,147.3489752175,107.7781899825,12.1095236925
5,1995,150.83340376666666,123.45131556666666,13.278215170000001
6,1996,121.97200405000001,164.52294095,11.955208380833334
7,1997,188.92811070000002,117.17241669166667,11.402344225833334
8,1998,135.46926998333333,101.61784109,8.918202917083333
9,1999,103.88442438,90.29406439833333,6.264687497583334
10,2000,87.20410989333334,88.21922933833334,8.079841593333333
11,2001,62.28413259333333,89.60913795583333,8.231553481583333
12,2002,61.46206826833333,99.33326691166667,6.23694913425
13,2003,64.17286205333333,105.2453630225,6.925712455749999
14,2004,80.47952485333333,111.89486579083332,7.5450976333333335
15,2005,114.85391927416667,98.507651755,10.070183538916666
16,2006,114.40885786666666,121.64739308333333,14.788469888333333
17,2007,123.61387753333334,163.60989114999998,9.956637145916666
18,2008,139.71246561666666,223.36028938333334,12.452206505833333
19,2009,143.75475765833332,165.62834758333335,18.150360863333333
20,2010,196.049092,185.95650480833334,20.89092549
21,2011,271.10805784166666,291.8540831083333,26.235583630833332
22,2012,186.44158315,298.43754856666663,21.374501965833332
23,2013,139.48433732499998,258.97946566666667,17.708547545833333
24,2014,200.35589637500001,192.93923405833334,17.127041227499998
25,2015,159.90368584166666,169.84463653333333,13.215140804999999
26,2016,163.83998469166667,159.22097156666666,18.143677311666668
27,2017,150.75595340833334,154.59502045,15.83465496
28,2018,132.71492668333335,164.51082855833332,12.251344678333332
29,2019,130.55576145,170.16944504166668,12.3504703225
30,2020,150.83195004166666,165.57838848333333,12.884191073333334
31,2021,204.694029225,259.39483821666664,17.856061030833335
32,2022,255.4659020583333,318.361028125,18.825534238333333
33,2023,205.95975239166668,251.45554121666666,24.04217527
34,2024,203.8791304,198.7579285,22.47478261
