Date,Agri_Machinery_ETF,Food_Beverage_ETF,Restaurant_FastFood_ETF,Retail_ETF
1999-12-01,-1.5573092552926533,-2.206914485560125,-2.212332102376534,-5.8510456794018815
2000-01-01,0.2732893789734674,-3.6729135422059023,-4.478691985721548,-3.848099749481121
2000-02-01,8.017217805492995,9.727031203887579,10.089113609801089,3.5192738393199567
2000-03-01,-13.340422173209483,-13.232103702001353,-10.415068003789763,3.4952217618089114
2000-04-01,-4.039071430046804,-4.667149934059292,-3.468666535292132,3.7047291617734905
2000-05-01,-18.136532619125862,-21.573799510304344,-25.32717818900281,-9.699928305522787
2000-06-01,-5.848221004518164,-4.033972327344407,-6.544924655387662,-6.422501974376141
2000-07-01,-4.958298653041212,-4.577047694367557,-4.647591149802922,-5.460143049082822
2000-08-01,-4.040623031242593,-3.3465870854617217,-2.7131031561581116,-4.117456793405475
2000-09-01,-6.498378447948036,-4.585336437433867,-4.111912227127295,-9.742070464879006
2000-10-01,24.093545824634223,11.087349750434123,12.399089342881155,44.25248001708685
2000-11-01,24.475137063382743,9.473317570757082,2.7212927062864023,69.80541790614777
2000-12-01,2.572716120826444,1.045218348540291,1.2568345868090574,16.227791825738766
2001-01-01,3.1822531400709333,1.7245920032253244,1.9872832714465656,11.930422485954946
2001-02-01,2.4260443146073705,0.1103011289788402,0.37101055396221644,4.733182481255568
2001-03-01,0.8710110762230302,0.08637903620152967,0.44807427751220213,1.5965608698123581
2001-04-01,1.0668194546380587,0.3649900810857639,0.6633240444321709,1.8713582505782083
2001-05-01,1.0216969338284227,0.8124931554603092,3.788955882152473,2.923574485414301
2001-06-01,0.6655435325226402,0.38498118636433076,2.0841716015129967,1.5544380794992188
2001-07-01,0.2868032140465852,0.14852676282059357,1.487640944621023,-1.414638885102198
2001-08-01,-0.04931256769188806,0.07259679681622487,1.3869340524787974,-2.1445603071971737
2001-09-01,0.4983011227422965,-0.07238229970460708,1.0468996539132054,-0.4429839788296511
2001-10-01,0.5308487251014293,-0.009417381757898172,0.8042539631409803,-2.2681410281400334
2001-11-01,0.4763687107240551,-0.31733510524558406,0.763595985890861,-3.893185085548478
2001-12-01,0.13386088673083657,-0.4387681397690179,0.6270882085369945,-5.555854962162074
2002-01-01,0.09914181631919608,-0.5065547179625599,0.17558566316882676,-7.451264967472861
2002-02-01,-0.19203064885048723,-0.5811419060284717,-0.12198943416734241,-7.624079837370455
2002-03-01,-1.114893541931424,-0.8985247760219317,-0.41906562464027575,-12.645789173046179
2002-04-01,-0.5692410757582824,-0.8319977137817259,-0.5665674123600871,-12.786723997702367
2002-05-01,-0.479791679062441,-0.6037099239511658,-0.3174802151757905,-13.387561804972325
2002-06-01,-0.10103414270094499,-0.293298812369126,0.506992931869037,-12.887321730164475
2002-07-01,0.15199260183433372,-0.15268819508797965,0.9651835312508901,-7.844870083217209
2002-08-01,0.09862853636814722,-0.25388460892779274,1.0165404218987684,-5.644198341964913
2002-09-01,0.15169879851831955,-0.09100335311441037,0.9824222124867121,-2.5485148049548614
2002-10-01,0.19120702890232097,-0.04466282147039152,1.0836659365018901,-3.062296993237247
2002-11-01,-0.0864813334063806,-0.23392893427109768,1.3119102505272724,-4.72418958605386
2002-12-01,-0.01027624057438321,-0.32046508073389735,1.285871930265534,-4.25763408094816
2003-01-01,0.11329755389487482,-0.4569563805998158,1.199627533380006,-4.087176797751992
2003-02-01,0.21411862904667475,-0.22109310003664276,1.167969513868693,-2.5728807877547286
2003-03-01,0.1587631395200731,-0.041301436936578804,1.1258418784088626,-2.447749295030967
2003-04-01,0.002648746394437589,-0.08580897117920389,1.1572617381467225,-3.8940844997939146
2003-05-01,-0.05804609390117799,-0.2415748956869076,1.236153859987142,-5.201823909291509
2003-06-01,-0.302861124264859,-0.6010161870538169,1.2029912497360575,-7.202283294240219
2003-07-01,-0.6041227993423068,-0.5850967767126313,1.1098689666913113,-8.057869630018766
2003-08-01,-1.2256791041159198,-0.4597040719572791,1.0559165929224172,-7.611795180595912
2003-09-01,-1.3692555779739495,-0.5625419957557325,1.4907514121517382,-4.540937376004351
2003-10-01,-1.3868829321910192,-0.5783761027043429,1.2048551816453947,-4.615233968851715
2003-11-01,-1.5870574593739217,-0.7084087548146519,1.1159673446161669,-5.60222349695188
2003-12-01,-2.2031621734661853,-0.8019018205291456,1.2151142671165216,-5.516401170409736
2004-01-01,-2.8456396070845416,-0.9442401515627495,1.3759470396667308,-7.515939989046322
2004-02-01,-2.5202445949671657,-1.1839772860382698,1.1180543699851984,-7.5677412875427015
2004-03-01,-2.321551781776184,-1.2347599845146227,0.8163028692114753,-6.288757416716096
2004-04-01,-2.955347517203381,-1.526836585943379,0.8356789360748701,-6.421853635350651
2004-05-01,-2.0450834774779962,-1.4241782591125332,0.8443356687106743,-4.835750278879087
2004-06-01,-2.552978311464007,-0.8516036559116654,0.8208783373167298,-6.254674750654406
2004-07-01,-2.0878015064146416,-0.320201046742963,0.7997235732589154,-5.125626631430554
2004-08-01,-1.6753283583022716,-0.18932151974583622,0.8130889793844471,-3.945314225859723
2004-09-01,-2.203650121360101,-0.18543402493298422,0.7070243663823057,-4.5211967060917075
2004-10-01,-2.198702818356694,-0.1401869229049172,0.43492205294118846,-4.057018340145391
2004-11-01,-3.5834388100038153,-0.4326645112446541,0.08088591137770722,-5.27363565871345
2004-12-01,-4.7597349624342105,-0.7626619249035945,-0.24503088135603002,-6.120787762479268
2005-01-01,-3.9724549364477237,-0.8348035115592998,-0.14991821790195325,-5.712590417473245
