,Year,Month,Agri_Machinery_ETF,Food_Beverage_ETF,Investment_Funds_ETF,Restaurant_FastFood_ETF,Retail_ETF
0,1999,11,0.21146697994178465,0.2593398442958486,123.53296398735051,0.2501176196948521,0.14464327679316094
1,1999,12,0.19761329595657248,0.23408634171685325,127.7750987295785,0.223432019074949,0.11306594274569175
2,2000,1,0.21176611466822506,0.2256554066908518,127.60036838335422,0.21292413989854247,0.12356032889496532
3,2000,2,0.19543289820290216,0.2139288758703572,120.97698831365328,0.21469688852473678,0.13781844353504555
4,2000,3,0.1792762524185053,0.1960262760776723,124.85927702109939,0.2173978079390446,0.15075704486752142
5,2000,4,0.19182406238261776,0.20531298521710722,127.13665898185073,0.2259886301026143,0.15714575843380782
6,2000,5,0.2073708367206165,0.21962430313580683,123.74652736154731,0.22766978797244655,0.13704168483317372
7,2000,6,0.19190086038250434,0.21489757805320167,126.15975065666538,0.21173727801388725,0.11658370591681338
8,2000,7,0.19048730960777818,0.20206663486342058,127.11568899790484,0.21533183753699628,0.11344772169514614
9,2000,8,0.1775057739183124,0.19344533304740466,129.48976991691063,0.21633280483938158,0.1076448085223281
10,2000,9,0.17711354134398175,0.19680093068245208,127.4677955870236,0.22164999713828715,0.09004310235147553
11,2000,10,0.18172702135592464,0.21798163698087772,121.75414599457693,0.2370572706725822,0.07622717892588095
12,2000,11,0.1928325102381586,0.2320157291444646,122.39279068893347,0.26569175775230386,0.06574171273343529
13,2000,12,0.21707331935756857,0.24583884864601205,119.37488560030441,0.2670045004110022,0.0663243193279301
14,2001,1,0.21843663822237433,0.24374563580993772,120.40579125915042,0.25951594430450037,0.10196713002627569
15,2001,2,0.21822297527373866,0.257841264491083,118.52291858403697,0.2728038085442655,0.11929262850076128
16,2001,3,0.23359056696075803,0.27780819308900717,108.21063277314539,0.28951376631473463,0.13126049774744866
17,2001,4,0.22266710870275225,0.2631850674430353,110.24152462561199,0.2823860227041408,0.1278823204260421
18,2001,5,0.22018978226128175,0.24859988149379253,118.99902877386458,0.2439404057725094,0.1311004161782021
19,2001,6,0.22583766316039292,0.2571153743832032,115.7536077363294,0.2535133905539938,0.13762152089526483
20,2001,7,0.23856193869495607,0.2698138645058566,112.34818953145073,0.26377838296898876,0.18090030384287792
21,2001,8,0.25217026773250606,0.2779508180258069,110.46676969433946,0.26283956607309994,0.200885162500825
22,2001,9,0.2544927994328381,0.3184776727716875,97.21134174928899,0.2723506004667002,0.20164484656035314
23,2001,10,0.2465265517836647,0.3051458137129258,100.06429365906791,0.2875024751004889,0.2577958763711989
24,2001,11,0.24641240975997938,0.3055003874130537,105.22432717297758,0.2840285964541932,0.27195841288880973
25,2001,12,0.2559984884317476,0.303495958842999,107.46417568443923,0.2891839249688286,0.29291299672636834
26,2002,1,0.2584831678281802,0.308399014905918,106.59150366438705,0.31089518840970937,0.347699052831353
27,2002,2,0.27818523381326676,0.316785728910722,104.868766473677,0.32884719016073033,0.37795100349567023
28,2002,3,0.2931658014145408,0.3050839728533701,110.45918864522079,0.31875822255210484,0.3980873751652435
29,2002,4,0.2948127670783917,0.32125347176425817,106.60917258205582,0.3384516701441343,0.4819481431096544
30,2002,5,0.30092570975646504,0.3222219950182706,104.5662718881607,0.3274104396206544,0.5454449960465995
31,2002,6,0.3046441282327469,0.33503597885247094,98.13827316131128,0.30495590635288145,0.687574371156248
32,2002,7,0.3239478150818198,0.36417356287628433,86.49617636890058,0.27975072764970926,0.7075797061649801
33,2002,8,0.3259069772454691,0.357403319832622,89.03343887392035,0.27333491932393084,0.5280437586828699
34,2002,9,0.34339793609984076,0.3678778592683156,83.92839226558401,0.27766987255161163,0.3915542030036075
35,2002,10,0.3462331118623978,0.3673554927249594,82.6952495193735,0.26605156281292064,0.4404840696815531
36,2002,11,0.3447234982379642,0.36037357904909845,88.89960284281219,0.24369891654231415,0.47623777756204744
37,2002,12,0.335322355508744,0.36943792085106275,88.21558149056104,0.24604887331580572,0.4572820387416144
38,2003,1,0.3264491543739959,0.3886270164781483,86.79266487220508,0.25415925963782715,0.463937026980584
39,2003,2,0.33001046351055874,0.38698722082689163,81.85682215675054,0.2535754394888851,0.41267754446862914
40,2003,3,0.3301945718874441,0.3580931794513085,82.83792408193617,0.2601939253756958,0.39431842542688833
41,2003,4,0.3330407159061335,0.3500002284838968,86.3348463672964,0.2580017123093986,0.4569105803954809
42,2003,5,0.3232440722528209,0.34757158446747655,90.15472917325411,0.2511666185882399,0.4859311962659232
43,2003,6,0.32114160478731235,0.35342991641887744,95.195191922676,0.2582353313175329,0.510620833803018
44,2003,7,0.3338244716579789,0.35151370271111604,95.6337525433454,0.2660411812867501,0.5412993952071502
45,2003,8,0.3718594003858379,0.34095091632513075,96.03505690923525,0.2714347743995125,0.5157779887857096
46,2003,9,0.3624376040782191,0.33817875554527,98.63530391475658,0.2344990302880845,0.35539923135343243
47,2003,10,0.39620773131044973,0.3696101215125551,92.25059774479867,0.2541049416955717,0.41627606264625433
48,2003,11,0.40176457865340426,0.3741005461775331,93.56341378626622,0.26210718011941353,0.4471229533468699
49,2003,12,0.41973678962885547,0.36983011678720734,95.88773763780746,0.2552768738408264,0.41222851626057977
50,2004,1,0.4080548493385447,0.35279474367965435,101.02515926983646,0.2483698645759662,0.4164836652459998
51,2004,2,0.3912661951449146,0.36906556710485,100.7975881478776,0.2646216980964073,0.41939281281458873
52,2004,3,0.40793945596469106,0.39061320982119324,98.09020325362951,0.2838608385115173,0.4133073889110158
