YearStart,Weighted_Data_Value
2011,30.1
2012,30.3
2013,31.5
2014,32.2
2015,32.2
2016,33.1
2017,32.4
2018,34.2
2019,34.7
2020,36.6
2021,37.1
2022,36.7
