YearStart,Weighted_Data_Value
2011,30.3
2012,29.7
2013,31.7
2014,30.1
2015,28.9
2016,31.0
2017,32.8
2018,32.0
2019,33.9
2020,31.6
2021,33.1
2022,33.7
