YearStart,Weighted_Data_Value
2011,25.0
2012,25.8
2013,30.1
2014,29.1
2015,32.6
2016,30.6
2017,32.5
2018,35.2
2019,42.8
2020,38.5
2021,42.9
2022,35.3
