,Year,Month,Coffee,Corn,Sugar,Agri_Machinery_ETF,Food_Beverage_ETF,Investment_Funds_ETF,Restaurant_FastFood_ETF,Retail_ETF
0,1999,11,112.4509091,85.40934063,6.505,36.83514204668529,40.01970848455537,125.5223567259285,34.92070073869233,17.86821270310192
1,1999,12,123.1652174,87.22283768,5.982,34.95798259612451,37.129538565012496,129.629927312323,32.39258343136555,14.447011997283632
2,2000,1,111.8514286,92.95327496,5.6295,37.14286745592738,35.52643470398227,129.35942334882057,30.139770565338765,15.766343484565985
3,2000,2,104.0414286,95.08161904,5.351,31.221459627888308,32.61997567680675,123.13628830392295,28.22343130826811,16.67286023294509
4,2000,3,100.6526087,95.16935111,5.1112,29.31940258157298,31.92049939467656,127.442178349409,29.35801078893332,18.82341562799617
5,2000,4,94.65,95.53937295,6.011,32.091105342454085,34.064049374433026,129.5248005263176,31.058368241802953,19.97898670044332
6,2000,5,91.50608696,95.53055089,6.780869565,33.32840334855943,35.4877350556995,126.18123908574802,30.27815114800601,16.958432601880876
7,2000,6,86.89409091,84.0395145,8.334545455,30.90324585625236,35.57427360830926,128.97879258118996,28.627160428222705,14.708171269095182
8,2000,7,87.65619048,75.05737521,9.64047619,30.38187215318156,33.547624315968235,129.95748190977878,29.18619932940627,14.420985308521058
9,2000,8,79.30391304,75.24053114,10.59782609,28.886060588768295,32.866805823545825,132.22625395918612,29.86064244587159,13.938901488306168
10,2000,9,75.8352381,80.15057627,9.8575,28.047390801998937,33.28287933952823,130.1305585412656,29.64916455864648,11.477595764559329
11,2000,10,76.76454545,84.7072744,10.41318182,27.196900164501567,35.2009360073576,124.15916846503131,30.21843149857981,9.280975071696448
12,2000,11,71.39045455,88.93710783,9.5135,29.735886825629073,37.034316757333265,124.53392564623384,34.172387350101296,8.046311686115338
13,2000,12,65.90333333,96.22420376,9.7175,33.582998591948005,38.58423087279844,121.21474488277926,33.41452186712691,7.917458032289715
14,2001,1,65.6526087,94.29723327,10.05952381,33.760939220429734,38.20963697101352,122.2303817175396,33.10067231069064,12.2774329732384
15,2001,2,67.2755,92.37751482,9.3625,32.894615164016685,39.82506176239714,119.98739909391074,34.34940309862696,14.138910495471498
16,2001,3,66.66590909,91.01215357,8.716818182,32.713920114425456,39.57566832459685,109.39879218582922,32.91080773340807,14.203781519369445
17,2001,4,65.99761905,87.54506652,8.052105263,32.404284760222716,38.3727241466113,111.36912651285928,32.30888114166436,14.097941976427924
18,2001,5,69.63130435,85.07752309,8.959545455,35.20165578544628,38.608391139579794,120.0741681428061,29.17777043776457,15.600822197055493
19,2001,6,63.84619048,83.16066599,8.742857143,35.12456087947954,38.944684145126274,116.7639329527349,29.842366353669696,15.930187545787543
20,2001,7,58.94136364,90.75466954,8.536190476,35.80883133963667,39.44226280909401,113.32814920587316,29.87393007611587,20.32382162243667
21,2001,8,59.33130435,92.87903164,7.904347826,37.04005905928429,39.69195340604415,111.36183890608147,29.45687535636,22.191134980988593
22,2001,9,58.267,89.74398849,7.160666667,32.8142491973509,40.6542712472832,98.02509990112748,26.91210647969524,19.60216609096143
23,2001,10,56.36782609,86.26773913,6.596086957,33.010041649314026,40.09343331929716,100.96787365751686,29.42673596460254,25.796162277304415
24,2001,11,58.84772727,89.88255424,7.278,34.12392443733337,41.98194267651172,106.1277988260084,30.80062323021764,28.61664101525584
25,2001,12,56.5852381,92.31151517,7.41,36.159176872776214,42.42693678409644,108.31439784570703,31.91863734118741,31.477653740458017
26,2002,1,58.24304348,91.96696059,7.313809524,36.30868437775386,42.94214120575818,107.42707616464914,34.03677406698553,37.06176486397707
27,2002,2,59.116,90.72819384,5.683157895,37.96536410944402,43.73580509961552,105.46600361555028,35.60136986015848,39.63525552407932
28,2002,3,64.07047619,89.85794911,5.9245,41.57951712291838,44.17390698541108,111.02114305863068,36.611329506401646,43.972408470658415
29,2002,4,65.33681818,87.10664777,5.178181818,39.9106508042283,44.90346993005171,107.11126791134151,37.8226708127992,51.38009276437848
30,2002,5,61.46043478,90.33130502,5.611818182,39.72883247882627,43.975553273181355,104.9701673878591,36.73595148279541,57.03514975664545
31,2002,6,58.5555,93.16980013,5.246,37.636909643246184,42.54843705732137,98.48034011264195,31.10650615363805,67.47736145524868
32,2002,7,56.4773913,99.70000268,5.794761905,35.10431374717617,41.90878074690986,86.71712566266652,24.50083694463869,61.20293905950096
33,2002,8,54.36409091,109.8910018,5.856818182,35.7852354413954,42.95597873694354,89.24740731598979,24.661977031479957,47.013551711446446
34,2002,9,60.66619048,113.9414542,6.4095,34.99520709076232,41.21890206723555,84.1910567641039,23.624325672696237,32.86251474292488
35,2002,10,65.73086957,109.6468099,7.02,34.44643676244217,40.62590919927463,82.95100375451648,22.08632527533539,36.42594005162514
36,2002,11,69.86809524,108.6464294,7.296842105,37.75855282527351,42.73344748750611,89.13660949517478,21.640724779641868,42.33734928400955
37,2002,12,63.65590909,107.0126485,7.508,36.94695012999133,43.80789387928152,88.44594678012879,21.657227767272836,40.33940095278077
38,2003,1,65.38347826,105.8442561,7.89047619,35.55520126530593,45.62832389507248,87.02525107188688,22.072675852047222,40.26633090453299
39,2003,2,66.4085,106.14108,8.348333333,34.105234856046955,43.08223734042025,82.0761200046586,20.80359926435196,33.78047236565309
40,2003,3,61.74809524,105.1318789,7.843333333,34.85672741270693,40.578879138304615,83.0578216994059,21.62027209507217,32.66451978962118
41,2003,4,64.69227273,105.3380934,7.261904762,36.80488340627156,41.08471753536772,86.59384796013828,22.387522172987502,39.44730476203607
